Name,season,minor_count,moderate_count,severe_count,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,has_severe_injury,total_days_missed,injury_score,games_missed,games_missed_last_season
 Aleksandar Vezenkov / Sasha Vezenkov,2020_2021,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,
 Aleksandar Vezenkov / Sasha Vezenkov,2021_2022,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Aleksandar Vezenkov / Sasha Vezenkov,2022_2023,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Aleksandar Vezenkov / Sasha Vezenkov,2023_2024,0.0,2.0,0.0,0.0,0.0,0.0,47.24409448818898,0.0,False,63.0,,30.38823529411765,82.0
 Aleksandar Vezenkov / Sasha Vezenkov,2024_2025,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,30.38823529411765
 Aleksej Pokusevski,2020_2021,6.0,4.0,0.0,23.484848484848484,2.631578947368421,18.939393939393938,1.5748031496062995,0.0,False,18.0,,8.68235294117647,
 Aleksej Pokusevski,2021_2022,6.0,4.0,0.0,23.484848484848484,2.631578947368421,18.939393939393938,1.5748031496062995,0.0,False,4.0,,1.9294117647058824,8.68235294117647
 Aleksej Pokusevski,2022_2023,6.0,4.0,0.0,23.484848484848484,2.631578947368421,18.939393939393938,1.5748031496062995,0.0,False,91.0,,43.89411764705882,1.9294117647058824
 Aleksej Pokusevski,2023_2024,6.0,4.0,0.0,23.484848484848484,2.631578947368421,18.939393939393938,1.5748031496062995,0.0,False,1.0,,0.4823529411764706,43.89411764705882
 Aleksej Pokusevski,2024_2025,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,0.4823529411764706
 Alex Caruso,2020_2021,12.0,9.0,1.0,14.393939393939394,100.0,18.939393939393938,11.023622047244094,12.000000000000002,True,17.0,,8.200000000000001,
 Alex Caruso,2021_2022,12.0,9.0,1.0,14.393939393939394,100.0,18.939393939393938,11.023622047244094,12.000000000000002,True,93.0,,44.85882352941177,8.200000000000001
