team,season,wins,losses,ortg,drtg,nrtg,pace,ts_pct,efg_pct,tov_pct,orb_pct,sos,srs,wins_lag1,ortg_lag1,drtg_lag1,wins_lag2,ortg_lag2,drtg_lag2,wins_lag3,ortg_lag3,drtg_lag3,wins_trend_1yr,wins_trend_2yr,target_next_wins,target_next_ortg,target_next_drtg,is_training
MEM,2020-21,38.0,34.0,112.0,111.0,1.0,100.4,0.56,0.528,11.6,24.2,0.04,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,114.6,109.0,True
MEM,2021-22,56.0,26.0,114.6,109.0,5.6,100.3,0.553,0.522,11.2,30.0,-0.32,5.37,38.0,112.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,51.0,115.1,111.2,True
MEM,2022-23,51.0,31.0,115.1,111.2,3.9,101.1,0.57,0.54,11.7,26.5,-0.34,3.6,56.0,114.6,109.0,38.0,112.0,111.0,0.0,0.0,0.0,-5.0,13.0,27.0,107.2,114.3,True
MEM,2023-24,27.0,55.0,107.2,114.3,-7.1,98.2,0.543,0.509,13.4,23.8,0.43,-6.57,51.0,115.1,111.2,56.0,114.6,109.0,38.0,112.0,111.0,-24.0,-29.0,48.0,117.7,113.0,True
MEM,2024-25,48.0,34.0,117.7,113.0,4.7,103.3,0.588,0.554,13.1,28.7,-0.06,4.79,27.0,107.2,114.3,51.0,115.1,111.2,56.0,114.6,109.0,21.0,-3.0,0.0,0.0,0.0,False
MIA,2020-21,40.0,32.0,111.2,111.2,0.0,96.6,0.581,0.546,13.1,19.4,-0.09,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,113.7,109.1,True
MIA,2021-22,53.0,29.0,113.7,109.1,4.6,95.9,0.584,0.547,13.4,23.5,-0.22,4.23,40.0,111.2,111.2,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,44.0,113.0,113.3,True
MIA,2022-23,44.0,38.0,113.0,113.3,-0.3,96.3,0.574,0.53,12.4,22.8,0.18,-0.13,53.0,113.7,109.1,40.0,111.2,111.2,0.0,0.0,0.0,-9.0,4.0,46.0,114.0,112.2,True
MIA,2023-24,46.0,36.0,114.0,112.2,1.8,96.2,0.578,0.538,11.7,21.8,-0.66,1.1,44.0,113.0,113.3,53.0,113.7,109.1,40.0,111.2,111.2,2.0,-7.0,37.0,113.5,112.9,True
MIA,2024-25,37.0,45.0,113.5,112.9,0.6,96.2,0.576,0.544,12.4,22.3,-0.45,0.11,46.0,114.0,112.2,44.0,113.0,113.3,53.0,113.7,109.1,-9.0,-7.0,0.0,0.0,0.0,False
MIL,2020-21,46.0,26.0,117.2,111.4,5.8,102.2,0.593,0.566,12.0,23.3,-0.32,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,115.1,111.8,True
MIL,2021-22,51.0,31.0,115.1,111.8,3.3,99.9,0.58,0.546,11.9,23.0,-0.14,3.22,46.0,117.2,111.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,58.0,115.4,111.9,True
MIL,2022-23,58.0,24.0,115.4,111.9,3.5,100.5,0.583,0.555,12.7,25.0,-0.02,3.61,51.0,115.1,111.8,46.0,117.2,111.4,0.0,0.0,0.0,7.0,12.0,49.0,118.4,115.8,True
MIL,2023-24,49.0,33.0,118.4,115.8,2.6,99.9,0.601,0.568,11.5,21.8,-0.18,2.44,58.0,115.4,111.9,51.0,115.1,111.8,46.0,117.2,111.4,-9.0,-2.0,48.0,115.9,113.4,True
MIL,2024-25,48.0,34.0,115.9,113.4,2.5,99.3,0.598,0.568,12.2,19.3,-0.36,2.12,49.0,118.4,115.8,58.0,115.4,111.9,51.0,115.1,111.8,-1.0,-10.0,0.0,0.0,0.0,False
MIN,2020-21,23.0,49.0,109.5,115.0,-5.5,101.6,0.555,0.52,12.4,22.7,0.31,-5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,114.3,111.7,True
MIN,2021-22,46.0,36.0,114.3,111.7,2.6,100.9,0.573,0.539,12.4,24.4,-0.1,2.53,23.0,109.5,115.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,42.0,113.7,113.8,True
MIN,2022-23,42.0,40.0,113.7,113.8,-0.1,101.0,0.592,0.56,13.6,21.5,-0.18,-0.22,46.0,114.3,111.7,23.0,109.5,115.0,0.0,0.0,0.0,-4.0,19.0,56.0,115.6,109.0,True
MIN,2023-24,56.0,26.0,115.6,109.0,6.6,97.1,0.594,0.559,13.0,23.2,-0.07,6.39,42.0,113.7,113.8,46.0,114.3,111.7,23.0,109.5,115.0,14.0,10.0,49.0,116.6,111.5,True
MIN,2024-25,49.0,33.0,116.6,111.5,5.1,97.3,0.588,0.554,13.0,25.8,0.15,5.15,56.0,115.6,109.0,42.0,113.7,113.8,46.0,114.3,111.7,-7.0,7.0,0.0,0.0,0.0,False
NOP,2020-21,31.0,41.0,113.5,113.8,-0.3,100.1,0.57,0.537,12.7,26.3,0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,112.0,113.0,True
NOP,2021-22,36.0,46.0,112.0,113.0,-1.0,97.2,0.557,0.517,12.5,26.9,0.15,-0.84,31.0,113.5,113.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,42.0,114.4,112.5,True
NOP,2022-23,42.0,40.0,114.4,112.5,1.9,99.1,0.582,0.543,12.9,24.7,-0.26,1.63,36.0,112.0,113.0,31.0,113.5,113.8,0.0,0.0,0.0,6.0,11.0,49.0,117.4,112.9,True
NOP,2023-24,49.0,33.0,117.4,112.9,4.5,97.9,0.591,0.558,11.8,24.4,0.05,4.46,42.0,114.4,112.5,36.0,112.0,113.0,31.0,113.5,113.8,7.0,13.0,21.0,110.4,119.9,True
NOP,2024-25,21.0,61.0,110.4,119.9,-9.5,99.1,0.552,0.519,12.8,26.3,0.84,-8.59,49.0,117.4,112.9,42.0,114.4,112.5,36.0,112.0,113.0,-28.0,-21.0,0.0,0.0,0.0,False
NYK,2020-21,41.0,31.0,110.6,108.2,2.4,95.9,0.559,0.524,11.9,21.9,-0.18,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,110.4,110.5,True
NYK,2021-22,37.0,45.0,110.4,110.5,-0.1,95.9,0.55,0.513,12.0,25.1,0.11,-0.01,41.0,110.6,108.2,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,47.0,117.8,114.8,True
NYK,2022-23,47.0,35.0,117.8,114.8,3.0,97.1,0.577,0.541,11.4,28.3,0.06,2.99,37.0,110.4,110.5,41.0,110.6,108.2,0.0,0.0,0.0,10.0,6.0,50.0,118.2,113.4,True
NYK,2023-24,50.0,32.0,118.2,113.4,4.8,95.2,0.574,0.54,11.9,29.4,-0.23,4.36,47.0,117.8,114.8,37.0,110.4,110.5,41.0,110.6,108.2,3.0,13.0,51.0,118.5,114.3,True
NYK,2024-25,51.0,31.0,118.5,114.3,4.2,96.7,0.589,0.556,11.9,26.0,-0.51,3.59,50.0,118.2,113.4,47.0,117.8,114.8,37.0,110.4,110.5,1.0,4.0,0.0,0.0,0.0,False
OKC,2020-21,22.0,50.0,103.5,114.0,-10.5,101.0,0.539,0.509,14.2,21.2,0.51,-10.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,104.6,112.8,True
OKC,2021-22,24.0,58.0,104.6,112.8,-8.2,98.6,0.53,0.497,12.5,21.8,0.2,-7.9,22.0,103.5,114.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,115.2,114.2,True
OKC,2022-23,40.0,42.0,115.2,114.2,1.0,101.1,0.57,0.531,11.2,24.7,-0.12,0.96,24.0,104.6,112.8,22.0,103.5,114.0,0.0,0.0,0.0,16.0,18.0,57.0,119.5,112.1,True
OKC,2023-24,57.0,25.0,119.5,112.1,7.4,99.8,0.608,0.573,11.4,21.1,-0.05,7.36,40.0,115.2,114.2,24.0,104.6,112.8,22.0,103.5,114.0,17.0,33.0,68.0,120.3,107.5,True
OKC,2024-25,68.0,14.0,120.3,107.5,12.8,100.0,0.593,0.56,10.3,24.2,-0.16,12.7,57.0,119.5,112.1,40.0,115.2,114.2,24.0,104.6,112.8,11.0,28.0,0.0,0.0,0.0,False
ORL,2020-21,21.0,51.0,105.1,114.5,-9.4,98.7,0.527,0.49,11.5,21.6,0.29,-9.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,104.5,112.5,True
ORL,2021-22,22.0,60.0,104.5,112.5,-8.0,99.2,0.538,0.503,13.0,19.8,0.33,-7.67,21.0,105.1,114.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,111.6,114.2,True
ORL,2022-23,34.0,48.0,111.6,114.2,-2.6,99.3,0.573,0.532,13.4,23.8,0.17,-2.39,22.0,104.5,112.5,21.0,105.1,114.5,0.0,0.0,0.0,12.0,13.0,47.0,113.4,111.3,True
ORL,2023-24,47.0,35.0,113.4,111.3,2.1,96.9,0.577,0.541,13.3,25.3,-0.55,1.48,34.0,111.6,114.2,22.0,104.5,112.5,21.0,105.1,114.5,13.0,25.0,41.0,109.4,109.6,True
ORL,2024-25,41.0,41.0,109.4,109.6,-0.2,96.1,0.55,0.51,12.9,25.3,-0.58,-0.7,47.0,113.4,111.3,34.0,111.6,114.2,22.0,104.5,112.5,-6.0,7.0,0.0,0.0,0.0,False
PHI,2020-21,49.0,23.0,113.2,107.6,5.6,99.5,0.579,0.541,12.8,23.2,-0.31,5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,113.5,110.8,True
PHI,2021-22,51.0,31.0,113.5,110.8,2.7,96.2,0.578,0.534,11.6,20.1,-0.04,2.57,49.0,113.2,107.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,54.0,117.7,113.3,True
PHI,2022-23,54.0,28.0,117.7,113.3,4.4,96.9,0.608,0.563,12.6,21.6,0.06,4.37,51.0,113.5,110.8,49.0,113.2,107.6,0.0,0.0,0.0,3.0,5.0,47.0,116.9,113.8,True
PHI,2023-24,47.0,35.0,116.9,113.8,3.1,97.5,0.574,0.532,10.7,24.8,-0.54,2.51,54.0,117.7,113.3,51.0,113.5,110.8,49.0,113.2,107.6,-7.0,-4.0,24.0,111.9,118.2,True
PHI,2024-25,24.0,58.0,111.9,118.2,-6.3,97.4,0.563,0.527,12.3,23.4,-0.06,-6.29,47.0,116.9,113.8,54.0,117.7,113.3,51.0,113.5,110.8,-23.0,-30.0,0.0,0.0,0.0,False
