player_id,name,season,salary,years_remaining,total_contract_value,avg_salary,salary_cap,cap_hit_percent,luxury_tax_limit,luxury_tax_risk,year_index,npv_salary
194,Bennedict Mathurin,2024/2025,7245720.0,3,20748600.0,6916200.0,141000000,5.138808510638298,172000000,4.212627906976745,3,5751886.145404663
302,Bismack Biyombo,2022/2023,2905851.0,1,2905851.0,2905851.0,123655000,2.349966438882374,150267000,1.9337918505060991,1,2690602.7777777775
302,Blake Griffin,2022/2023,2905851.0,1,2905851.0,2905851.0,123655000,2.349966438882374,150267000,1.9337918505060991,1,2690602.7777777775
337,Blake Wesley,2022/2023,2385480.0,3,7514400.0,2504800.0,123655000,1.9291415632202498,150267000,1.587494260216814,1,2208777.7777777775
337,Blake Wesley,2023/2024,2504640.0,3,7514400.0,2504800.0,136021000,1.84136273075481,165294000,1.5152637119314676,2,2147325.102880658
337,Blake Wesley,2024/2025,2624280.0,3,7514400.0,2504800.0,141000000,1.861191489361702,172000000,1.5257441860465115,3,2083238.0734644106
257,Boban Marjanovic,2022/2023,4101478.0,1,4101478.0,4101478.0,123655000,3.3168719420969635,150267000,2.7294602274617845,1,3797664.8148148144
133,Bobby Portis,2022/2023,10843350.0,3,35132454.0,11710818.0,123655000,8.769034814605153,150267000,7.216055421349997,1,10040138.888888888
133,Bobby Portis,2023/2024,11710818.0,3,35132454.0,11710818.0,136021000,8.609566169929643,165294000,7.084841555047371,2,10040138.888888888
133,Bobby Portis,2024/2025,12578286.0,3,35132454.0,11710818.0,141000000,8.920770212765957,172000000,7.312956976744187,3,9985048.963572625
79,Bogdan Bogdanovic,2022/2023,18000000.0,3,53960000.0,17986666.666666668,123655000,14.556629331608104,150267000,11.978677953243228,1,16666666.666666666
79,Bogdan Bogdanovic,2023/2024,18700000.0,3,53960000.0,17986666.666666668,136021000,13.747877166025834,165294000,11.31317531186855,2,16032235.939643346
79,Bogdan Bogdanovic,2024/2025,17260000.0,3,53960000.0,17986666.666666668,141000000,12.24113475177305,172000000,10.034883720930232,3,13701544.480008127
71,Bojan Bogdanovic,2022/2023,19550000.0,3,58582850.0,19527616.666666668,123655000,15.810116857385466,150267000,13.010175221439171,1,18101851.85185185
71,Bojan Bogdanovic,2023/2024,20000000.0,3,58582850.0,19527616.666666668,136021000,14.70361194227362,165294000,12.099652739966363,2,17146776.406035665
71,Bojan Bogdanovic,2024/2025,19032850.0,3,58582850.0,19527616.666666668,141000000,13.498475177304964,172000000,11.06561046511628,3,15108889.968500735
357,Bol Bol,2022/2023,2200000.0,2,4400000.0,2200000.0,123655000,1.7791435849743238,150267000,1.4640606387297277,1,2037037.0370370368
357,Bol Bol,2023/2024,2200000.0,2,4400000.0,2200000.0,136021000,1.617397313650098,165294000,1.3309618013963,2,1886145.404663923
356,Bones Hyland,2022/2023,2201520.0,3,8666359.0,2888786.3333333335,123655000,1.7803728114512152,150267000,1.4650721715346684,1,2038444.4444444443
356,Bones Hyland,2023/2024,2306400.0,3,8666359.0,2888786.3333333335,136021000,1.6956205291829938,165294000,1.395331953972921,2,1977366.2551440326
356,Bones Hyland,2024/2025,4158439.0,3,8666359.0,2888786.3333333335,141000000,2.9492475177304964,172000000,2.4176970930232557,3,3301102.950515673
6,Bradley Beal,2022/2023,43279250.0,3,140224770.0,46741590.0,123655000,35.0,150267000,28.80156654488344,1,40073379.62962963
6,Bradley Beal,2023/2024,46741590.0,3,140224770.0,46741590.0,136021000,34.363510046242865,165294000,28.277850375694218,2,40073379.62962963
6,Bradley Beal,2024/2025,50203930.0,3,140224770.0,46741590.0,141000000,35.60562411347517,172000000,29.188331395348836,3,39853498.259919725
247,Brandon Clarke,2022/2023,4343919.0,3,29343919.0,9781306.333333334,123655000,3.512934373862763,150267000,2.890800375331909,1,4022147.222222222
247,Brandon Clarke,2023/2024,12500000.0,3,29343919.0,9781306.333333334,136021000,9.189757463921012,165294000,7.562282962478976,2,10716735.25377229
247,Brandon Clarke,2024/2025,12500000.0,3,29343919.0,9781306.333333334,141000000,8.865248226950355,172000000,7.267441860465117,3,9922903.01275212
34,Brandon Ingram,2022/2023,31650600.0,3,101500200.0,33833400.0,123655000,25.59589179572197,150267000,21.06290802371778,1,29306111.11111111
34,Brandon Ingram,2023/2024,33833400.0,3,101500200.0,33833400.0,136021000,24.873659214386016,165294000,20.468619550618897,2,29006687.24279835
34,Brandon Ingram,2024/2025,36016200.0,3,101500200.0,33833400.0,141000000,25.543404255319146,172000000,20.9396511627907,3,28590820.759030633
535,Braxton Key,2022/2023,201802.0,1,201802.0,201802.0,123655000,0.16319760624317659,150267000,0.1342956204622439,1,186853.70370370368
107,Brook Lopez,2022/2023,13906976.0,1,13906976.0,13906976.0,123655000,11.246594153087218,150267000,9.254843711526815,1,12876829.629629629
195,Bruce Brown,2022/2023,6479000.0,2,13281950.0,6640975.0,123655000,5.239577857749383,150267000,4.311658581059048,1,5999074.074074074
195,Bruce Brown,2023/2024,6802950.0,2,13281950.0,6640975.0,136021000,5.001396843134516,165294000,4.115666630367708,2,5832433.127572016
319,Bruno Fernando,2022/2023,2717391.0,3,8016304.0,2672101.3333333335,123655000,2.197558529780437,150267000,1.8083750923356425,1,2516102.7777777775
319,Bruno Fernando,2023/2024,2581522.0,3,8016304.0,2672101.3333333335,136021000,1.897884885422104,165294000,1.5617759870291723,2,2213239.0260631
319,Bruno Fernando,2024/2025,2717391.0,3,8016304.0,2672101.3333333335,141000000,1.9272276595744682,172000000,1.5798784883720929,3,2157152.5872580395
449,Bryce McGowens,2022/2023,1461055.0,3,5200618.0,1733539.3333333333,123655000,1.181557559338482,150267000,0.9723059620542102,1,1352828.7037037036
449,Bryce McGowens,2023/2024,1719864.0,3,5200618.0,1733539.3333333333,136021000,1.2644106424743238,165294000,1.0404878579984753,2,1474506.172839506
449,Bryce McGowens,2024/2025,2019699.0,3,5200618.0,1733539.3333333333,141000000,1.4324106382978723,172000000,1.1742436046511628,3,1603302.1833561955
344,Bryn Forbes,2022/2023,2298385.0,1,2298385.0,2298385.0,123655000,1.858707694796005,150267000,1.5295340959758297,1,2128134.2592592593
488,Buddy Boeheim,2022/2023,508891.0,2,2270643.0,1135321.5,123655000,0.41154098095507663,150267000,0.33865785568354995,1,471195.37037037034
488,Buddy Boeheim,2023/2024,1761752.0,2,2270643.0,1135321.5,136021000,1.2952058873262218,165294000,1.065829370697061,2,1510418.3813443072
62,Buddy Hield,2022/2023,21177750.0,2,40457591.0,20228795.5,123655000,17.126480934859085,150267000,14.093413723572043,1,19609027.777777776
62,Buddy Hield,2023/2024,19279841.0,2,40457591.0,20228795.5,136021000,14.174165018636828,165294000,11.66396904908829,2,16529356.138545953
31,CJ McCollum,2022/2023,33333333.0,3,102469135.0,34156378.333333336,123655000,26.956720714892242,150267000,22.182736728623052,1,30864197.22222222
31,CJ McCollum,2023/2024,35802469.0,3,102469135.0,34156378.333333336,136021000,26.32128053756405,165294000,21.659872106670537,2,30694846.536351163
31,CJ McCollum,2024/2025,33333333.0,3,102469135.0,34156378.333333336,141000000,23.64066170212766,172000000,19.379844767441863,3,26461074.436061572
137,Cade Cunningham,2022/2023,10552800.0,3,35548969.0,11849656.333333334,123655000,8.534066556144111,150267000,7.022699594721396,1,9771111.11111111
137,Cade Cunningham,2023/2024,11055360.0,3,35548969.0,11849656.333333334,136021000,8.127686166106704,165294000,6.688300845765727,2,9478189.300411522
137,Cade Cunningham,2024/2025,13940809.0,3,35548969.0,11849656.333333334,141000000,9.887098581560284,172000000,8.105121511627907,3,11066663.65010415
375,Caleb Houstan,2022/2023,2000000.0,3,6019699.0,2006566.3333333333,123655000,1.6174032590675669,150267000,1.3309642170270253,1,1851851.8518518517
375,Caleb Houstan,2023/2024,2000000.0,3,6019699.0,2006566.3333333333,136021000,1.470361194227362,165294000,1.2099652739966362,2,1714677.6406035663
375,Caleb Houstan,2024/2025,2019699.0,3,6019699.0,2006566.3333333333,141000000,1.4324106382978723,172000000,1.1742436046511628,3,1603302.1833561955
195,Caleb Martin,2022/2023,6479000.0,3,20408850.0,6802950.0,123655000,5.239577857749383,150267000,4.311658581059048,1,5999074.074074074
195,Caleb Martin,2023/2024,6802950.0,3,20408850.0,6802950.0,136021000,5.001396843134516,165294000,4.115666630367708,2,5832433.127572016
195,Caleb Martin,2024/2025,7126900.0,3,20408850.0,6802950.0,141000000,5.054539007092199,172000000,4.143546511627907,3,5657562.998526647
209,Cam Reddish,2022/2023,5954454.0,2,14064420.0,7032210.0,123655000,4.815376652783955,150267000,3.9625826029667195,1,5513383.333333333
209,Cam Reddish,2023/2024,8109966.0,2,14064420.0,7032210.0,136021000,5.962289646451651,165294000,4.906388616646702,2,6952988.683127572
364,Cam Thomas,2022/2023,2138160.0,3,8419569.0,2806523.0,123655000,1.7291334762039545,150267000,1.4229072251392523,1,1979777.7777777778
364,Cam Thomas,2023/2024,2240160.0,3,8419569.0,2806523.0,136021000,1.6469221664301834,165294000,1.3552579040981525,2,1920576.1316872425
364,Cam Thomas,2024/2025,4041249.0,3,8419569.0,2806523.0,141000000,2.8661340425531914,172000000,2.3495633720930234,3,3208073.7501905193
210,Cameron Johnson,2022/2023,5887899.0,2,13948432.0,6974216.0,123655000,4.761553515830334,150267000,3.9182914412346026,1,5451758.333333333
210,Cameron Johnson,2023/2024,8060533.0,2,13948432.0,6974216.0,136021000,5.925947463994531,165294000,4.876482509951964,2,6910607.853223593
206,Cameron Payne,2022/2023,6000000.0,2,12500000.0,6250000.0,123655000,4.8522097772027015,150267000,3.9928926510810756,1,5555555.555555555
206,Cameron Payne,2023/2024,6500000.0,2,12500000.0,6250000.0,136021000,4.778673881238927,165294000,3.932387140489068,2,5572702.331961591
75,Caris LeVert,2022/2023,18796296.0,1,18796296.0,18796296.0,123655000,15.200595204399336,150267000,12.508598694324103,1,17403977.777777776
481,Carlik Jones,2022/2023,612162.0,3,4632402.0,1544134.0,123655000,0.49505640693866,150267000,0.4073828585118489,1,566816.6666666666
481,Carlik Jones,2023/2024,1927896.0,3,4632402.0,1544134.0,136021000,1.417351732453077,165294000,1.1663436059385095,2,1652860.0823045266
481,Carlik Jones,2024/2025,2092344.0,3,4632402.0,1544134.0,141000000,1.483931914893617,172000000,1.216479069767442,3,1660970.1265051058
183,Cedi Osman,2022/2023,7426088.0,2,14144930.0,7072465.0,123655000,6.005489466661276,150267000,4.941928700246894,1,6876007.407407407
183,Cedi Osman,2023/2024,6718842.0,2,14144930.0,7072465.0,136021000,4.939562273472479,165294000,4.064782750735054,2,5760324.074074074
322,Charles Bassey,2022/2023,2674742.0,3,7774742.0,2591580.6666666665,123655000,2.1630682139824513,150267000,1.7799929458896497,1,2476612.9629629627
322,Charles Bassey,2023/2024,2600000.0,3,7774742.0,2591580.6666666665,136021000,1.9114695524955705,165294000,1.5729548561956272,2,2229080.9327846365
322,Charles Bassey,2024/2025,2500000.0,3,7774742.0,2591580.6666666665,141000000,1.773049645390071,172000000,1.4534883720930232,3,1984580.602550424
146,Chet Holmgren,2022/2023,9891240.0,3,31157880.0,10385960.0,123655000,7.99906190610974,150267000,6.5824432510131965,1,9158555.555555554
146,Chet Holmgren,2023/2024,10386000.0,3,31157880.0,10385960.0,136021000,7.635585681622691,165294000,6.283349667864532,2,8904320.98765432
146,Chet Holmgren,2024/2025,10880640.0,3,31157880.0,10385960.0,141000000,7.716765957446809,172000000,6.325953488372093,3,8637402.834933698
519,Chima Moneke,2022/2023,500000.0,1,500000.0,500000.0,123655000,0.4043508147668917,150267000,0.3327410542567563,1,462962.9629629629
395,Chimezie Metu,2022/2023,1910860.0,1,1910860.0,1910860.0,123655000,1.5453155958109255,150267000,1.2716431418741307,1,1769314.8148148146
118,Chris Boucher,2022/2023,12690000.0,3,35250000.0,11750000.0,123655000,10.262423678783712,150267000,8.444967957036475,1,11750000.0
118,Chris Boucher,2023/2024,11750000.0,3,35250000.0,11750000.0,136021000,8.638372016085752,165294000,7.108545984730238,2,10073731.138545953
118,Chris Boucher,2024/2025,10810000.0,3,35250000.0,11750000.0,141000000,7.666666666666666,172000000,6.284883720930233,3,8581326.525428033
264,Chris Duarte,2022/2023,3936960.0,3,13955128.0,4651709.333333333,123655000,3.183825967409324,150267000,2.6199764419333587,1,3645333.333333333
264,Chris Duarte,2023/2024,4124400.0,3,13955128.0,4651709.333333333,136021000,3.032178854735666,165294000,2.4951903880358635,2,3536008.2304526744
264,Chris Duarte,2024/2025,5893768.0,3,13955128.0,4651709.333333333,141000000,4.179977304964539,172000000,3.426609302325581,3,4678663.059492962
48,Chris Paul,2022/2023,28400000.0,3,90000000.0,30000000.0,123655000,22.96712627875945,150267000,18.89969188178376,1,26296296.296296295
48,Chris Paul,2023/2024,30800000.0,3,90000000.0,30000000.0,136021000,22.643562391101373,165294000,18.6334652195482,2,26406035.665294923
48,Chris Paul,2024/2025,30800000.0,3,90000000.0,30000000.0,141000000,21.843971631205676,172000000,17.906976744186046,3,24450033.023421224
534,Chris Silva,2022/2023,211045.0,1,211045.0,211045.0,123655000,0.17067243540495736,150267000,0.14044667159123428,1,195412.03703703702
315,Christian Braun,2022/2023,2808600.0,3,8847360.0,2949120.0,123655000,2.2713193967085843,150267000,1.8690730499710515,1,2600555.5555555555
315,Christian Braun,2023/2024,2949120.0,3,8847360.0,2949120.0,136021000,2.168135802559899,165294000,1.78416639442448,2,2528395.061728395
315,Christian Braun,2024/2025,3089640.0,3,8847360.0,2949120.0,141000000,2.1912340425531913,172000000,1.7963023255813955,3,2452655.8451455566
448,Christian Koloko,2022/2023,1500000.0,3,5239563.0,1746521.0,123655000,1.2130524443006754,150267000,0.9982231627702689,1,1388888.8888888888
448,Christian Koloko,2023/2024,1719864.0,3,5239563.0,1746521.0,136021000,1.2644106424743238,165294000,1.0404878579984753,2,1474506.172839506
448,Christian Koloko,2024/2025,2019699.0,3,5239563.0,1746521.0,141000000,1.4324106382978723,172000000,1.1742436046511628,3,1603302.1833561955
104,Christian Wood,2022/2023,14317459.0,1,14317459.0,14317459.0,123655000,11.578552424083135,150267000,9.528012803875768,1,13256906.481481481
280,Chuma Okeke,2022/2023,3433320.0,3,16099763.0,5366587.666666667,123655000,2.77653147871093,150267000,2.284813032801613,1,3179000.0
280,Chuma Okeke,2023/2024,5266712.0,3,16099763.0,5366587.666666667,136021000,3.871984472985789,165294000,3.186269314070686,2,4515356.652949245
280,Chuma Okeke,2024/2025,7399731.0,3,16099763.0,5366587.666666667,141000000,5.248036170212766,172000000,4.302169186046512,3,5874145.042676421
78,Clint Capela,2022/2023,18206896.0,3,61088176.0,20362725.333333332,123655000,14.723946463952126,150267000,12.116363539566239,1,16858237.037037037
78,Clint Capela,2023/2024,20616000.0,3,61088176.0,20362725.333333332,136021000,15.156483190095646,165294000,12.472322044357327,2,17674897.119341563
78,Clint Capela,2024/2025,22265280.0,3,61088176.0,20362725.333333332,141000000,15.790978723404256,172000000,12.94493023255814,3,17674897.11934156
184,Coby White,2022/2023,7413955.0,2,17356068.0,8678034.0,123655000,5.9956774897901415,150267000,4.933854405824299,1,6864773.148148147
184,Coby White,2023/2024,9942113.0,2,17356068.0,8678034.0,136021000,7.309248571911691,165294000,6.01480574007526,2,8523759.430727022
190,Cody Martin,2022/2023,7000000.0,3,22680000.0,7560000.0,123655000,5.660911406736484,150267000,4.658374759594588,1,6481481.481481481
190,Cody Martin,2023/2024,7560000.0,3,22680000.0,7560000.0,136021000,5.5579653141794285,165294000,4.573668735707285,2,6481481.481481481
190,Cody Martin,2024/2025,8120000.0,3,22680000.0,7560000.0,141000000,5.75886524822695,172000000,4.72093023255814,3,6445917.797083777
474,Cody Zeller,2022/2023,743922.0,1,743922.0,743922.0,123655000,0.6016109336460314,150267000,0.4950667811295893,1,688816.6666666666
274,Cole Anthony,2022/2023,3613680.0,3,16898051.0,5632683.666666667,123655000,2.922388904613643,150267000,2.4048393858931103,1,3346000.0
274,Cole Anthony,2023/2024,5539771.0,3,16898051.0,5632683.666666667,136021000,4.072732151653054,165294000,3.3514652679468098,2,4749460.73388203
274,Cole Anthony,2024/2025,7744600.0,3,16898051.0,5632683.666666667,141000000,5.492624113475177,172000000,4.502674418604651,3,6147913.173804806
488,Cole Swider,2022/2023,508891.0,2,1056240.0,528120.0,123655000,0.41154098095507663,150267000,0.33865785568354995,1,471195.37037037034
488,Cole Swider,2023/2024,547349.0,2,1056240.0,528120.0,136021000,0.4024003646495761,165294000,0.33113664137839244,2,469263.54595336074
